batch_idx,batch_cd,running_avg_cd,batch_f1_tau,running_avg_f1_tau,batch_f1_2tau,running_avg_f1_2tau
000000,0.000274,0.000021,0.613394,0.047184,0.818405,0.062954
000005,0.000454,0.000035,0.569336,0.043795,0.757139,0.058241
000010,0.000460,0.000035,0.579719,0.044594,0.761295,0.058561
000015,0.000431,0.000033,0.579477,0.044575,0.760726,0.058517
000020,0.000416,0.000032,0.573625,0.044125,0.758468,0.058344
000025,0.000399,0.000031,0.575158,0.044243,0.762043,0.058619
000030,0.000441,0.000034,0.567128,0.043625,0.751492,0.057807
000035,0.000460,0.000035,0.563120,0.043317,0.745667,0.057359
000040,0.000458,0.000035,0.556830,0.042833,0.740810,0.056985
000045,0.000455,0.000035,0.557241,0.042865,0.739372,0.056875
000050,0.000463,0.000036,0.551415,0.042417,0.733761,0.056443
000055,0.000460,0.000035,0.548537,0.042195,0.731934,0.056303
000060,0.000461,0.000035,0.547482,0.042114,0.731233,0.056249
000065,0.000456,0.000035,0.547239,0.042095,0.731635,0.056280
000070,0.000448,0.000034,0.547576,0.042121,0.734291,0.056484
000075,0.000449,0.000035,0.545465,0.041959,0.732503,0.056346
000080,0.000445,0.000034,0.545951,0.041996,0.733301,0.056408
000085,0.000449,0.000035,0.545157,0.041935,0.733243,0.056403
000090,0.000454,0.000035,0.543955,0.041843,0.732296,0.056330
000095,0.000450,0.000035,0.545265,0.041943,0.732935,0.056380
000100,0.000448,0.000034,0.545172,0.041936,0.732380,0.056337
000105,0.000451,0.000035,0.543752,0.041827,0.730889,0.056222
000110,0.000456,0.000035,0.541641,0.041665,0.728331,0.056025
000115,0.000452,0.000035,0.542739,0.041749,0.729302,0.056100
000120,0.000447,0.000034,0.544644,0.041896,0.731320,0.056255
000125,0.000444,0.000034,0.547148,0.042088,0.733602,0.056431
000130,0.000445,0.000034,0.546762,0.042059,0.733198,0.056400
000135,0.000448,0.000034,0.546896,0.042069,0.733276,0.056406
000140,0.000444,0.000034,0.548727,0.042210,0.734743,0.056519
000145,0.000454,0.000035,0.546885,0.042068,0.732264,0.056328
000150,0.000449,0.000035,0.547929,0.042148,0.733424,0.056417
000155,0.000446,0.000034,0.549421,0.042263,0.734660,0.056512
000160,0.000450,0.000035,0.550225,0.042325,0.735151,0.056550
000165,0.000452,0.000035,0.550862,0.042374,0.735387,0.056568
000170,0.000449,0.000035,0.551315,0.042409,0.735990,0.056615
000175,0.000450,0.000035,0.550752,0.042366,0.735134,0.056549
000180,0.000449,0.000035,0.552517,0.042501,0.736253,0.056635
000185,0.000467,0.000036,0.553125,0.042548,0.736149,0.056627
000190,0.000463,0.000036,0.554859,0.042681,0.737275,0.056713
000195,0.000459,0.000035,0.555953,0.042766,0.738492,0.056807
000200,0.000459,0.000035,0.556405,0.042800,0.738932,0.056841
000205,0.000462,0.000036,0.554713,0.042670,0.737531,0.056733
000210,0.000465,0.000036,0.553270,0.042559,0.735833,0.056603
000215,0.000462,0.000036,0.553559,0.042581,0.736388,0.056645
000220,0.000461,0.000035,0.553283,0.042560,0.736435,0.056649
000225,0.000463,0.000036,0.552584,0.042506,0.735684,0.056591
000230,0.000465,0.000036,0.553753,0.042596,0.736546,0.056657
000235,0.000466,0.000036,0.553505,0.042577,0.736030,0.056618
000240,0.000464,0.000036,0.554330,0.042641,0.736683,0.056668
000245,0.000462,0.000036,0.553474,0.042575,0.736418,0.056648
000250,0.000460,0.000035,0.553649,0.042588,0.736690,0.056668
000255,0.000459,0.000035,0.554026,0.042617,0.736894,0.056684
000260,0.000458,0.000035,0.554892,0.042684,0.737702,0.056746
000265,0.000460,0.000035,0.553424,0.042571,0.736543,0.056657
000270,0.000457,0.000035,0.554321,0.042640,0.737531,0.056733
000275,0.000454,0.000035,0.555381,0.042722,0.738517,0.056809
000280,0.000455,0.000035,0.554601,0.042662,0.737647,0.056742
