timestamp,batch_idx,step_count,chamfer_distance_batch,chamfer_distance_running_avg,f1_tau_batch,f1_tau_running_avg,f1_2tau_batch,f1_2tau_running_avg
"2026-02-02 00:00:40,280",0,0,0.000274,2.1e-05,0.613396,0.047184,0.818309,0.062947
"2026-02-02 00:00:50,314",5,5,0.000454,3.5e-05,0.569379,0.043798,0.75711,0.058239
"2026-02-02 00:00:58,762",10,10,0.00046,3.5e-05,0.579735,0.044595,0.76128,0.05856
"2026-02-02 00:01:08,027",15,15,0.000431,3.3e-05,0.579499,0.044577,0.760712,0.058516
"2026-02-02 00:01:16,131",20,20,0.000416,3.2e-05,0.573636,0.044126,0.758456,0.058343
"2026-02-02 00:01:24,570",25,25,0.000399,3.1e-05,0.575176,0.044244,0.762019,0.058617
"2026-02-02 00:01:32,957",30,30,0.00044,3.4e-05,0.567135,0.043626,0.751473,0.057806
"2026-02-02 00:01:41,256",35,35,0.00046,3.5e-05,0.563137,0.043318,0.74564,0.057357
"2026-02-02 00:01:49,502",40,40,0.000458,3.5e-05,0.556847,0.042834,0.740791,0.056984
"2026-02-02 00:01:57,594",45,45,0.000455,3.5e-05,0.557265,0.042867,0.739371,0.056875
"2026-02-02 00:02:06,045",50,50,0.000463,3.6e-05,0.551438,0.042418,0.733766,0.056444
"2026-02-02 00:02:14,313",55,55,0.00046,3.5e-05,0.548556,0.042197,0.731931,0.056302
"2026-02-02 00:02:22,784",60,60,0.000461,3.5e-05,0.547494,0.042115,0.731233,0.056249
"2026-02-02 00:02:32,551",65,65,0.000456,3.5e-05,0.54725,0.042096,0.731638,0.05628
"2026-02-02 00:02:41,042",70,70,0.000448,3.4e-05,0.54758,0.042122,0.734297,0.056484
"2026-02-02 00:02:49,899",75,75,0.000449,3.5e-05,0.54547,0.041959,0.732508,0.056347
"2026-02-02 00:02:58,581",80,80,0.000445,3.4e-05,0.545958,0.041997,0.733308,0.056408
"2026-02-02 00:03:07,087",85,85,0.000449,3.5e-05,0.545167,0.041936,0.733253,0.056404
"2026-02-02 00:03:15,341",90,90,0.000454,3.5e-05,0.543963,0.041843,0.732304,0.056331
"2026-02-02 00:03:24,390",95,95,0.00045,3.5e-05,0.545274,0.041944,0.732944,0.05638
"2026-02-02 00:03:34,010",100,100,0.000448,3.4e-05,0.54518,0.041937,0.73239,0.056338
"2026-02-02 00:03:41,749",105,105,0.000451,3.5e-05,0.543762,0.041828,0.730899,0.056223
"2026-02-02 00:03:49,245",110,110,0.000456,3.5e-05,0.541653,0.041666,0.728338,0.056026
"2026-02-02 00:03:56,608",115,115,0.000452,3.5e-05,0.542752,0.04175,0.729309,0.056101
"2026-02-02 00:04:03,897",120,120,0.000447,3.4e-05,0.544658,0.041897,0.731326,0.056256
"2026-02-02 00:04:11,346",125,125,0.000444,3.4e-05,0.547161,0.042089,0.733606,0.056431
"2026-02-02 00:04:18,688",130,130,0.000445,3.4e-05,0.546775,0.04206,0.733204,0.0564
"2026-02-02 00:04:25,958",135,135,0.000448,3.4e-05,0.546907,0.04207,0.733283,0.056406
"2026-02-02 00:04:33,398",140,140,0.000444,3.4e-05,0.548737,0.042211,0.734751,0.056519
"2026-02-02 00:04:40,732",145,145,0.000454,3.5e-05,0.546894,0.042069,0.732271,0.056329
"2026-02-02 00:04:48,083",150,150,0.000449,3.5e-05,0.547936,0.042149,0.733429,0.056418
"2026-02-02 00:04:55,221",155,155,0.000446,3.4e-05,0.54943,0.042264,0.734663,0.056513
"2026-02-02 00:05:02,700",160,160,0.00045,3.5e-05,0.550236,0.042326,0.735155,0.05655
"2026-02-02 00:05:10,102",165,165,0.000452,3.5e-05,0.550872,0.042375,0.735393,0.056569
"2026-02-02 00:05:17,831",170,170,0.000449,3.5e-05,0.551323,0.042409,0.735995,0.056615
"2026-02-02 00:05:25,081",175,175,0.00045,3.5e-05,0.550759,0.042366,0.735138,0.056549
"2026-02-02 00:05:32,505",180,180,0.000449,3.5e-05,0.552525,0.042502,0.736257,0.056635
